a base version
test/A/testfile1.txtFinalCycle : 446134.0
test/A/testfile2.txtFinalCycle : 697878.5
test/A/testfile3.txtFinalCycle : 497.0
test/A/testfile4.txtFinalCycle : 146.0
test/A/testfile5.txtFinalCycle : 802.0
test/A/testfile6.txtFinalCycle : 675.5
test/A/testfile7.txtFinalCycle : 9446.0
test/A/testfile8.txtFinalCycle : 777.5
test/A/testfile9.txtFinalCycle : 2713.5
test/A/testfile10.txtFinalCycle : 3853.0
test/A/testfile11.txtFinalCycle : 786.5
test/A/testfile12.txtFinalCycle : 1175.5
test/A/testfile13.txtFinalCycle : 2503.0
test/A/testfile14.txtFinalCycle : 31902.5
test/A/testfile15.txtFinalCycle : 89786.5
test/A/testfile16.txtFinalCycle : 10969.0
test/A/testfile17.txtFinalCycle : 2120719.0
test/A/testfile18.txtFinalCycle : 3738.5
test/A/testfile19.txtFinalCycle : 2021.5
test/A/testfile20.txtFinalCycle : 598.0
test/A/testfile21.txtFinalCycle : 1469.0
test/A/testfile22.txtFinalCycle : 476.0
test/A/testfile23.txtFinalCycle : 591.0
test/A/testfile24.txtFinalCycle : 5509.0
test/A/testfile25.txtFinalCycle : 2485.0
test/A/testfile26.txtFinalCycle : 120228.0
test/B/testfile1.txtFinalCycle : 1093.5
test/B/testfile2.txtFinalCycle : 859.0
test/B/testfile3.txtFinalCycle : 1453.5
test/B/testfile4.txtFinalCycle : 22060.0
test/B/testfile5.txtFinalCycle : 9187.5
test/B/testfile6.txtFinalCycle : 22178.5
test/B/testfile7.txtFinalCycle : 725.0
test/B/testfile8.txtFinalCycle : 998.5
test/B/testfile9.txtFinalCycle : 381.5
test/B/testfile10.txtFinalCycle : 5205.5
test/B/testfile11.txtFinalCycle : 980.5
test/B/testfile12.txtFinalCycle : 343.5
test/B/testfile13.txtFinalCycle : 103417.5
test/B/testfile14.txtFinalCycle : 50366.5
test/B/testfile15.txtFinalCycle : 4844.5
test/B/testfile16.txtFinalCycle : 2761.0
test/B/testfile17.txtFinalCycle : 13175.5
test/B/testfile18.txtFinalCycle : 275.5
test/B/testfile19.txtFinalCycle : 858.5
test/B/testfile20.txtFinalCycle : 442.0
test/B/testfile21.txtFinalCycle : 6097.5
test/B/testfile22.txtFinalCycle : 805.0
test/B/testfile23.txtFinalCycle : 1505.0
test/B/testfile24.txtFinalCycle : 2383.0
test/B/testfile25.txtFinalCycle : 4598.0
test/B/testfile26.txtFinalCycle : 4626.5
test/B/testfile27.txtFinalCycle : 7617.0
test/C/testfile1.txtFinalCycle : 544.0
test/C/testfile2.txtFinalCycle : 15079.5
test/C/testfile3.txtFinalCycle : 3846.5
test/C/testfile4.txtFinalCycle : 141.0
test/C/testfile5.txtFinalCycle : 3010.0
test/C/testfile6.txtFinalCycle : 2942.0
test/C/testfile7.txtFinalCycle : 26532.5
test/C/testfile8.txtFinalCycle : 320.5
test/C/testfile9.txtFinalCycle : 1131.5
test/C/testfile10.txtFinalCycle : 264.5
test/C/testfile11.txtFinalCycle : 305.5
test/C/testfile12.txtFinalCycle : 191.0
test/C/testfile13.txtFinalCycle : 21356.5
test/C/testfile14.txtFinalCycle : 7038.0
test/C/testfile15.txtFinalCycle : 4077.5
test/C/testfile16.txtFinalCycle : 3115.0
test/C/testfile17.txtFinalCycle : 1290.5
test/C/testfile18.txtFinalCycle : 1048.5
test/C/testfile19.txtFinalCycle : 310.0
test/C/testfile20.txtFinalCycle : 5768.5
test/C/testfile21.txtFinalCycle : 1955.0
test/C/testfile22.txtFinalCycle : 832.5
test/C/testfile23.txtFinalCycle : 1077.5
test/C/testfile24.txtFinalCycle : 1720.0
test/C/testfile25.txtFinalCycle : 1387.5
test/C/testfile26.txtFinalCycle : 5430.0
test/C/testfile27.txtFinalCycle : 527.5
test/C/testfile28.txtFinalCycle : 668.5
test/C/testfile29.txtFinalCycle : 2334.0
average cycle:48065
